"10540: Registrerte arbeidsledige (prosent), etter region, alder, måned og statistikkvariabel"

"region";"alder";"måned";"Registrert helt arbeidsledige"
"1120 Klepp";"15-74 år";"2002M08";2.1
"1120 Klepp";"15-74 år";"2002M09";2.1
"1120 Klepp";"15-74 år";"2002M10";2.0
"1120 Klepp";"15-74 år";"2002M11";1.9
"1120 Klepp";"15-74 år";"2002M12";2.0
"1121 Time";"15-74 år";"1999M01";1.3
"1121 Time";"15-74 år";"1999M02";1.3
"1121 Time";"15-74 år";"1999M03";1.3
"1121 Time";"15-74 år";"1999M04";1.2
"1121 Time";"15-74 år";"1999M05";1.0
"1121 Time";"15-74 år";"1999M06";1.3
"1121 Time";"15-74 år";"1999M07";1.6
"1121 Time";"15-74 år";"1999M08";1.6
"1121 Time";"15-74 år";"1999M09";1.3
"1121 Time";"15-74 år";"1999M10";1.3
"1121 Time";"15-74 år";"1999M11";1.3
"1121 Time";"15-74 år";"1999M12";1.3
"1121 Time";"15-74 år";"2000M01";1.8
"1121 Time";"15-74 år";"2000M02";1.6
"1121 Time";"15-74 år";"2000M03";1.6
"1121 Time";"15-74 år";"2000M04";1.5
"1121 Time";"15-74 år";"2000M05";1.6
"1121 Time";"15-74 år";"2000M06";1.6
"1121 Time";"15-74 år";"2000M07";2.3
"1121 Time";"15-74 år";"2000M08";2.2
"1121 Time";"15-74 år";"2000M09";2.0
"1121 Time";"15-74 år";"2000M10";2.0
"1121 Time";"15-74 år";"2000M11";4.8
"1121 Time";"15-74 år";"2000M12";4.0
"1121 Time";"15-74 år";"2001M01";2.1
"1121 Time";"15-74 år";"2001M02";1.9
